,Domain,Verdict,Entropy,Vowel,Consonant,Length,VN,VowelConsRatio,EntropyLength,CountNum,ngram2ScoreLegit,ngram3ScoreLegit,ngram4ScoreLegit,ngram5ScoreLegit,ngramTotalScoreLegit,ngram2ScoreDGA,ngram3ScoreDGA,ngram4ScoreDGA,ngram5ScoreDGA,ngramTotalScoreDGA
3777,playzoukantilles.com,legit,3.57782,6,10,16,0,0.6,0.22361,0,6,0,0,0,6,5,0,0,0,5
3192,norrisacademywi.org,legit,3.50689,6,9,15,0,0.66667,0.23379,0,1,0,0,0,1,7,1,0,0,8
4901,investorss.ru,legit,2.84644,3,7,10,0,0.42857,0.28464,0,3,0,0,0,3,5,1,0,0,6
202,evernote.com,legit,2.40564,4,4,8,0,1.0,0.3007,0,2,0,0,0,2,3,1,0,0,4
2809,bplhbjpfqwvgkqx.com,dga,3.50689,0,15,15,1,0.0,0.23379,0,1,0,0,0,1,0,0,0,0,0
2705,boatus.org,legit,2.58496,3,3,6,0,1.0,0.43083,0,2,0,0,0,2,1,0,0,0,1
2277,smartmarket.es,legit,2.73216,3,8,11,0,0.375,0.24838,0,1,0,0,0,1,3,0,0,0,3
4545,617.co.kr,legit,2.58496,1,1,6,0,1.0,0.43083,3,2,1,0,0,3,1,1,0,0,2
3975,4technique.it,legit,3.12193,4,5,10,0,0.8,0.31219,1,1,0,0,0,1,3,0,0,0,3
4005,omnibusclavisfreely.com,dga,3.82687,7,12,19,1,0.58333,0.20141,0,2,0,0,0,2,6,0,0,0,6
404,avvo.com,legit,1.5,2,2,4,0,1.0,0.375,0,0,0,0,0,0,0,0,0,0,0
1628,akozcem.co.kr,dga,2.92193,4,5,10,1,0.8,0.29219,0,3,1,0,0,4,3,1,0,0,4
1420,wvfuwufqbex.org,dga,2.91398,3,8,11,1,0.375,0.26491,0,0,0,0,0,0,1,3,2,2,8
4434,marctenbosch.com,legit,3.4183,3,9,12,0,0.33333,0.28486,0,3,0,0,0,3,4,0,0,0,4
2925,yndvkuu.tv,dga,2.52164,2,5,7,1,0.4,0.36023,0,0,0,0,0,0,1,0,0,0,1
4643,hwubcluq.cc,dga,2.75,2,6,8,1,0.33333,0.34375,0,0,0,0,0,0,0,0,0,0,0
576,smile.amazon.com,legit,3.25163,5,6,12,0,0.83333,0.27097,0,7,1,3,3,14,5,0,0,0,5
4795,kellymoore.com,legit,2.72193,4,6,10,0,0.66667,0.27219,0,2,0,0,0,2,3,0,0,0,3
4308,socvwfkou.kz,dga,2.9477,3,6,9,1,0.5,0.32752,0,1,0,0,0,1,0,0,0,0,0
489,discordapp.com,legit,2.92193,3,7,10,0,0.42857,0.29219,0,3,1,0,0,4,3,0,0,0,3
4075,c2mtmrc438c4k0u2i2mbgru.ddns.net,dga,4.01219,3,16,28,1,0.1875,0.14329,8,2,1,0,0,3,4,3,3,2,12
79,bbc.com,legit,0.9183,0,3,3,0,0.0,0.3061,0,0,0,0,0,0,0,0,0,0,0
1927,p800.net,legit,1.5,0,1,4,0,0.0,0.375,3,0,0,0,0,0,0,0,0,0,0
402,yandex.com,legit,2.58496,2,4,6,0,0.5,0.43083,0,0,0,0,0,0,3,1,0,0,4
2825,udalekuak.eus,legit,2.50326,5,4,9,0,1.25,0.27814,0,1,0,0,0,1,1,0,0,0,1
1208,betbvisobxocbbbci.tw,dga,2.82218,5,12,17,1,0.41667,0.16601,0,0,0,0,0,0,3,0,0,0,3
4448,jacquettakingsley.net,dga,3.73452,6,11,17,1,0.54545,0.21968,0,3,0,0,0,3,5,1,0,0,6
2690,nonsuquestum.com,dga,2.85539,5,7,12,1,0.71429,0.23795,0,3,0,0,0,3,5,1,0,0,6
1089,guerrastribales.es,legit,3.1899,6,9,15,0,0.66667,0.21266,0,5,1,0,0,6,7,0,0,0,7
3640,8uc2c6ky8aw2.net,dga,3.08496,2,5,12,1,0.4,0.25708,5,0,0,0,0,0,0,0,0,0,0
4707,ilcgcsdsholapet.com,dga,3.50689,4,11,15,1,0.36364,0.23379,0,2,0,0,0,2,2,0,5,5,12
1050,emwwycaiquewuqiy.org,dga,3.07782,7,9,16,1,0.77778,0.19236,0,0,0,0,0,0,2,0,0,0,2
1563,q4icmwi8y4uk.org,dga,3.25163,3,6,12,1,0.5,0.27097,3,1,0,0,0,1,1,0,0,0,1
2040,yarkistudio.com,legit,3.27761,5,6,11,0,0.83333,0.29796,0,1,0,0,0,1,3,1,0,0,4
2386,bengfa.info,legit,2.58496,2,4,6,0,0.5,0.43083,0,1,0,0,0,1,2,0,0,0,2
3100,xash.me,legit,2.0,1,3,4,0,0.33333,0.5,0,0,0,0,0,0,1,0,0,0,1
1589,ufcedeihqod.ddns.net,dga,3.375,5,10,16,1,0.5,0.21094,0,5,2,0,0,7,7,3,2,1,13
736,mixi.jp,legit,1.5,2,2,4,0,1.0,0.375,0,1,0,0,0,1,1,0,0,0,1
2289,qdrbbxayolnswak.net,dga,3.64022,3,12,15,1,0.25,0.24268,0,0,0,0,0,0,1,0,0,0,1
370,pewinternet.org,legit,2.66353,4,7,11,0,0.57143,0.24214,0,4,0,0,0,4,5,1,1,0,7
3527,cosplayforum.com,legit,3.4183,4,8,12,0,0.5,0.28486,0,2,0,0,0,2,3,0,0,0,3
2999,imlqfenansnan.com,dga,2.93121,4,9,13,1,0.44444,0.22548,0,1,0,0,0,1,3,2,4,3,12
2010,mlsegy.com,legit,2.58496,1,5,6,0,0.2,0.43083,0,1,0,0,0,1,1,0,0,0,1
585,php.net,legit,0.9183,0,3,3,0,0.0,0.3061,0,0,0,0,0,0,0,0,0,0,0
3516,aylida.com,legit,2.25163,3,3,6,0,1.0,0.37527,0,1,0,0,0,1,0,0,0,0,0
592,android.com,legit,2.52164,3,4,7,0,0.75,0.36023,0,1,0,0,0,1,2,1,0,0,3
3486,iheva2183hwhsnibwfw.ddns.net,dga,3.85539,4,15,24,1,0.26667,0.16064,4,2,1,0,0,3,5,3,3,2,13
2069,lafontaine.net,legit,2.92193,5,5,10,0,1.0,0.29219,0,4,0,0,0,4,5,1,0,0,6
4141,casanova.audio,legit,2.40564,4,4,8,0,1.0,0.3007,0,0,0,0,0,0,3,0,0,0,3
2514,btewlkmsmjpoiot.info,dga,3.50689,4,11,15,1,0.36364,0.23379,0,1,0,0,0,1,1,0,0,0,1
111,tumblr.com,legit,2.58496,1,5,6,0,0.2,0.43083,0,0,0,0,0,0,0,0,0,0,0
4357,ourbotanicals.com,legit,3.39275,6,7,13,0,0.85714,0.26098,0,3,0,0,0,3,5,0,0,0,5
3862,visitheld.net,dga,2.9477,3,6,9,1,0.5,0.32752,0,0,0,0,0,0,4,0,0,0,4
510,dol.gov,legit,1.58496,1,2,3,0,0.5,0.52832,0,0,0,0,0,0,0,0,0,0,0
2758,vraboti.se,legit,2.80735,3,4,7,0,0.75,0.40105,0,2,0,0,0,2,2,0,0,0,2
166,weibo.com,legit,2.32193,3,2,5,0,1.5,0.46439,0,0,0,0,0,0,0,0,0,0,0
1619,bluemedora.com,legit,3.12193,5,5,10,0,1.0,0.31219,0,2,0,0,0,2,4,0,0,0,4
3151,gw2discord.eu,legit,3.12193,2,7,10,0,0.28571,0.31219,1,1,0,0,0,1,3,0,0,0,3
